Model,SolvedOptimally,SolutionCount,ObjectiveBound,SolveTime,TimeOut,OptimalityGap,BestObjective
FirstStage,True,10,7273.369893502218,2.8019731044769287,False,0.0,7273.369893502218
SecondStage,True,3,6857.538126598153,0.02632594108581543,False,0.0,6857.538126598153
block0,True,10,255.6333609405374,5.3995959758758545,False,0.0,255.6333609405392
block1,True,8,589.4746363659069,0.11851692199707031,False,0.0,589.4746363659087
block2,True,10,589.9714780600261,0.1844780445098877,False,0.0,589.9714780600249
block3,True,4,270.5626345047908,0.08355498313903809,False,0.0,270.5626345047908
block4,True,4,565.3119927269936,0.03542590141296387,False,0.0,565.3119927269956
block5,True,8,317.8790339073357,0.04545187950134277,False,0.0,317.8790339073377
block6,True,3,244.5367461865003,0.01876688003540039,False,0.0,244.5367461865003
block7,True,6,352.96973473802973,0.26034092903137207,False,0.0,352.9697347380282
block8,True,6,272.3886682878542,0.16722702980041504,False,0.0,272.3886682878529
block9,True,4,272.0166862645151,0.03598809242248535,False,0.0,272.01668626451544
block10,True,6,312.83851782482816,0.23106813430786133,False,0.0,312.8385178248275
block11,True,3,248.43616614181246,0.05944108963012695,False,0.0,248.4361661418124
block12,True,2,847.7870891368984,0.15523886680603027,False,0.0,847.7870891369005
block13,True,2,535.0304465950903,0.9141359329223633,False,0.0,535.0304465950933
block14,True,3,219.33082750382982,0.038797855377197266,False,0.0,219.33082750382988
block15,True,6,250.52933633638077,0.1972959041595459,False,0.0,250.52933633638378
block16,True,9,334.9751724036705,0.10753202438354492,False,0.0,334.9751724036697
block17,True,5,324.31823225886365,0.03349494934082031,False,0.0,324.3182322588638
block18,True,4,308.04114889031007,0.08711004257202148,False,0.0,308.04114889030865
block19,True,1,933.2000000000007,0.18010282516479492,False,0.0,933.2000000000043
block20,True,5,190.7208591441165,0.016872882843017578,False,0.0,190.72085914411656
block21,True,2,609.5332081713605,0.5657739639282227,False,0.0,609.5332081713661
block22,True,2,484.8862387770241,0.3219590187072754,False,0.0,484.8862387770263
block23,True,5,274.29532124609705,0.09558296203613281,False,0.0,274.29532124609784
block24,True,2,819.4935391313702,0.09487199783325195,False,0.0,819.4935391313672
block25,True,6,355.76340641476963,0.17439794540405273,False,0.0,355.76340641476907
block26,True,2,992.487130087884,2.102358102798462,False,0.0,992.4871300878949
block27,True,3,385.1988936196608,0.006860971450805664,False,0.0,385.19889361966085
block28,True,6,192.25570155703508,0.01556706428527832,False,0.0,192.255701557035
block29,True,3,402.44930699406086,0.01603412628173828,False,0.0,402.44930699406126
block30,True,9,188.61228076635143,0.11949300765991211,False,0.0,188.6122807663515
block31,True,5,286.80477373693884,0.03897905349731445,False,0.0,286.8047737369385
