Model,SolvedOptimally,SolutionCount,ObjectiveBound,SolveTime,TimeOut,OptimalityGap,BestObjective
block31,True,1,312.21479574742443,0.023456811904907227,False,0.0,312.2147957474246
blockorder0,True,1,-2.1302071218087804e-11,10.959825992584229,False,0.0,-1.3642420526593924e-11
blockorder1,True,2,3.3000000000077057,0.06664490699768066,False,0.0,3.300000000000183
blockorder2,True,2,-1.4921397450962104e-13,0.004591941833496094,False,0.0,0.0
blockorder3,True,1,-1.2292389328649733e-12,0.1145479679107666,False,0.0,-1.9539925233402755e-12
blockorder4,True,5,8.64730509420042e-12,0.1912708282470703,False,0.0,-1.3633538742396922e-12
blockorder5,True,3,2.55440113505756e-12,0.018594026565551758,False,0.0,-3.268496584496461e-12
blockorder6,True,1,6.800000000010286,0.019093990325927734,False,0.0,6.800000000000637
blockorder7,True,5,1.006839056572062e-11,0.3239150047302246,False,0.0,-1.3322676295501878e-13
blockorder8,True,2,1.531930138298776e-11,0.10084009170532227,False,0.0,-5.6843418860808015e-12
blockorder9,True,3,1.1539214028744027e-11,0.04027390480041504,False,0.0,-3.135269821541442e-12
blockorder10,True,1,7.399999999998928,0.04848909378051758,False,0.0,7.399999999999318
blockorder11,True,2,4.9666937229631e-12,0.03652691841125488,False,0.0,3.1796787425264483e-12
blockorder12,True,2,1.0039968856290216e-11,0.02913188934326172,False,0.0,-1.1368683772161603e-12
blockorder13,True,2,14.29999999998351,0.20905208587646484,False,0.0,14.29999999999609
blockorder14,True,3,-5.5067062021407764e-12,0.0785529613494873,False,0.0,-2.2737367544323206e-12
blockorder15,True,1,1.021405182655144e-11,0.04902195930480957,False,0.0,-2.2737367544323206e-12
blockorder16,True,2,-9.308109838457312e-13,0.0826120376586914,False,0.0,-5.684341886080801e-13
blockorder17,True,1,-1.0202949596305189e-11,0.08450603485107422,False,0.0,-4.547473508864641e-12
blockorder18,True,6,-2.3163693185779266e-12,0.2774510383605957,False,0.0,-3.410605131648481e-12
blockorder19,True,1,2.3803181647963356e-13,0.003981113433837891,False,0.0,-1.7053025658242404e-12
blockorder20,True,2,-1.7292833831561438e-12,0.002833127975463867,False,0.0,1.4210854715202004e-13
